Type of Alert,Date,Time,Zone,Latitude,Longitude,city,state,year,month,yearmonth
Single Gunshot,9/14/2012,21:00:00,KansasCityMO,39.048,-94.561,Kansas City,MO,2012,9,153
Multiple Gunshots,9/14/2012,22:00:00,KansasCityMO,39.044,-94.557,Kansas City,MO,2012,9,153
Multiple Gunshots,9/15/2012,2:00:00,KansasCityMO,39.034,-94.559,Kansas City,MO,2012,9,153
Multiple Gunshots,9/15/2012,2:00:00,KansasCityMO,39.038,-94.575,Kansas City,MO,2012,9,153
Multiple Gunshots,9/15/2012,2:00:00,KansasCityMO,39.037,-94.566,Kansas City,MO,2012,9,153
Single Gunshot,9/15/2012,3:00:00,KansasCityMO,39.044,-94.558,Kansas City,MO,2012,9,153
Single Gunshot,9/15/2012,18:00:00,KansasCityMO,39.044,-94.553,Kansas City,MO,2012,9,153
Single Gunshot,9/15/2012,19:00:00,KansasCityMO,39.046,-94.565,Kansas City,MO,2012,9,153
Multiple Gunshots,9/15/2012,22:00:00,KansasCityMO,39.064,-94.554,Kansas City,MO,2012,9,153
Single Gunshot,9/16/2012,1:00:00,KansasCityMO,39.053,-94.553,Kansas City,MO,2012,9,153
Multiple Gunshots,9/16/2012,1:00:00,KansasCityMO,39.033,-94.562,Kansas City,MO,2012,9,153
Multiple Gunshots,9/16/2012,1:00:00,KansasCityMO,39.06,-94.546,Kansas City,MO,2012,9,153
Single Gunshot,9/16/2012,2:00:00,KansasCityMO,39.045,-94.553,Kansas City,MO,2012,9,153
Multiple Gunshots,9/16/2012,2:00:00,KansasCityMO,39.064,-94.564,Kansas City,MO,2012,9,153
Multiple Gunshots,9/16/2012,2:00:00,KansasCityMO,39.064,-94.564,Kansas City,MO,2012,9,153
Single Gunshot,9/16/2012,2:00:00,KansasCityMO,39.052,-94.565,Kansas City,MO,2012,9,153
Multiple Gunshots,9/16/2012,10:00:00,KansasCityMO,39.045,-94.573,Kansas City,MO,2012,9,153
Multiple Gunshots,9/16/2012,13:00:00,KansasCityMO,39.063,-94.567,Kansas City,MO,2012,9,153
Single Gunshot,9/16/2012,20:00:00,KansasCityMO,39.061,-94.543,Kansas City,MO,2012,9,153
Single Gunshot,9/16/2012,20:00:00,KansasCityMO,39.06,-94.546,Kansas City,MO,2012,9,153
Single Gunshot,9/16/2012,20:00:00,KansasCityMO,39.06,-94.546,Kansas City,MO,2012,9,153
Single Gunshot,9/16/2012,20:00:00,KansasCityMO,39.061,-94.543,Kansas City,MO,2012,9,153
Multiple Gunshots,9/16/2012,23:00:00,KansasCityMO,39.043,-94.585,Kansas City,MO,2012,9,153
Multiple Gunshots,9/17/2012,0:00:00,KansasCityMO,39.055,-94.583,Kansas City,MO,2012,9,153
Single Gunshot,9/17/2012,0:00:00,KansasCityMO,39.055,-94.583,Kansas City,MO,2012,9,153
Single Gunshot,9/17/2012,0:00:00,KansasCityMO,39.055,-94.583,Kansas City,MO,2012,9,153
Single Gunshot,9/17/2012,1:00:00,KansasCityMO,39.055,-94.583,Kansas City,MO,2012,9,153
Single Gunshot,9/18/2012,21:00:00,KansasCityMO,39.06,-94.556,Kansas City,MO,2012,9,153
Single Gunshot,9/18/2012,0:00:00,KansasCityMO,39.05,-94.568,Kansas City,MO,2012,9,153
Single Gunshot,9/19/2012,20:00:00,KansasCityMO,39.025,-94.57,Kansas City,MO,2012,9,153
Multiple Gunshots,9/20/2012,4:00:00,KansasCityMO,39.063,-94.555,Kansas City,MO,2012,9,153
Multiple Gunshots,9/20/2012,16:00:00,KansasCityMO,39.063,-94.564,Kansas City,MO,2012,9,153
Single Gunshot,9/20/2012,19:00:00,KansasCityMO,39.061,-94.552,Kansas City,MO,2012,9,153
Single Gunshot,9/20/2012,19:00:00,KansasCityMO,39.06,-94.555,Kansas City,MO,2012,9,153
Single Gunshot,9/21/2012,0:00:00,KansasCityMO,39.036,-94.574,Kansas City,MO,2012,9,153
Multiple Gunshots,9/21/2012,5:00:00,KansasCityMO,39.048,-94.555,Kansas City,MO,2012,9,153
Multiple Gunshots,9/21/2012,5:00:00,KansasCityMO,39.048,-94.555,Kansas City,MO,2012,9,153
Gunshot or Firecracker,9/21/2012,19:00:00,KansasCityMO,39.072,-94.554,Kansas City,MO,2012,9,153
Single Gunshot,9/21/2012,22:00:00,KansasCityMO,39.059,-94.553,Kansas City,MO,2012,9,153
Multiple Gunshots,9/21/2012,0:00:00,KansasCityMO,39.055,-94.549,Kansas City,MO,2012,9,153
Single Gunshot,9/22/2012,0:00:00,KansasCityMO,39.041,-94.554,Kansas City,MO,2012,9,153
Single Gunshot,9/22/2012,0:00:00,KansasCityMO,39.038,-94.545,Kansas City,MO,2012,9,153
Single Gunshot,9/22/2012,0:00:00,KansasCityMO,39.037,-94.543,Kansas City,MO,2012,9,153
Multiple Gunshots,9/22/2012,0:00:00,KansasCityMO,39.058,-94.56,Kansas City,MO,2012,9,153
Multiple Gunshots,9/22/2012,2:00:00,KansasCityMO,39.046,-94.544,Kansas City,MO,2012,9,153
Single Gunshot,9/22/2012,2:00:00,KansasCityMO,39.028,-94.576,Kansas City,MO,2012,9,153
Multiple Gunshots,9/22/2012,11:00:00,KansasCityMO,39.06,-94.55,Kansas City,MO,2012,9,153
Single Gunshot,9/22/2012,19:00:00,KansasCityMO,39.046,-94.567,Kansas City,MO,2012,9,153
Single Gunshot,9/22/2012,19:00:00,KansasCityMO,39.052,-94.559,Kansas City,MO,2012,9,153
Multiple Gunshots,9/22/2012,20:00:00,KansasCityMO,39.045,-94.57,Kansas City,MO,2012,9,153
Multiple Gunshots,9/22/2012,22:00:00,KansasCityMO,39.037,-94.564,Kansas City,MO,2012,9,153
Single Gunshot,9/23/2012,1:00:00,KansasCityMO,39.066,-94.578,Kansas City,MO,2012,9,153
Single Gunshot,9/23/2012,1:00:00,KansasCityMO,39.066,-94.577,Kansas City,MO,2012,9,153
Single Gunshot,9/23/2012,1:00:00,KansasCityMO,39.067,-94.58,Kansas City,MO,2012,9,153
Single Gunshot,9/23/2012,1:00:00,KansasCityMO,39.052,-94.572,Kansas City,MO,2012,9,153
Single Gunshot,9/23/2012,1:00:00,KansasCityMO,39.052,-94.571,Kansas City,MO,2012,9,153
Single Gunshot,9/23/2012,1:00:00,KansasCityMO,39.052,-94.572,Kansas City,MO,2012,9,153
Single Gunshot,9/23/2012,3:00:00,KansasCityMO,39.026,-94.554,Kansas City,MO,2012,9,153
Single Gunshot,9/23/2012,3:00:00,KansasCityMO,39.032,-94.553,Kansas City,MO,2012,9,153
Single Gunshot,9/23/2012,3:00:00,KansasCityMO,39.034,-94.553,Kansas City,MO,2012,9,153
Multiple Gunshots,9/23/2012,3:00:00,KansasCityMO,39.049,-94.553,Kansas City,MO,2012,9,153
Single Gunshot,9/23/2012,16:00:00,KansasCityMO,39.043,-94.556,Kansas City,MO,2012,9,153
Single Gunshot,9/23/2012,19:00:00,KansasCityMO,39.044,-94.558,Kansas City,MO,2012,9,153
Multiple Gunshots,9/23/2012,20:00:00,KansasCityMO,39.063,-94.551,Kansas City,MO,2012,9,153
Multiple Gunshots,9/23/2012,21:00:00,KansasCityMO,39.052,-94.572,Kansas City,MO,2012,9,153
Single Gunshot,9/24/2012,19:00:00,KansasCityMO,39.069,-94.555,Kansas City,MO,2012,9,153
Single Gunshot,9/24/2012,20:00:00,KansasCityMO,39.046,-94.562,Kansas City,MO,2012,9,153
Multiple Gunshots,9/24/2012,21:00:00,KansasCityMO,39.056,-94.567,Kansas City,MO,2012,9,153
Single Gunshot,9/24/2012,22:00:00,KansasCityMO,39.059,-94.55,Kansas City,MO,2012,9,153
Multiple Gunshots,9/24/2012,23:00:00,KansasCityMO,39.057,-94.561,Kansas City,MO,2012,9,153
Multiple Gunshots,9/24/2012,23:00:00,KansasCityMO,39.057,-94.56,Kansas City,MO,2012,9,153
Multiple Gunshots,9/25/2012,15:00:00,KansasCityMO,39.051,-94.565,Kansas City,MO,2012,9,153
Multiple Gunshots,9/25/2012,15:00:00,KansasCityMO,39.051,-94.565,Kansas City,MO,2012,9,153
Single Gunshot,9/25/2012,15:00:00,KansasCityMO,39.051,-94.565,Kansas City,MO,2012,9,153
Multiple Gunshots,9/25/2012,15:00:00,KansasCityMO,39.051,-94.565,Kansas City,MO,2012,9,153
Single Gunshot,9/25/2012,16:00:00,KansasCityMO,39.05,-94.565,Kansas City,MO,2012,9,153
Single Gunshot,9/25/2012,19:00:00,KansasCityMO,39.05,-94.564,Kansas City,MO,2012,9,153
Single Gunshot,9/25/2012,21:00:00,KansasCityMO,39.06,-94.568,Kansas City,MO,2012,9,153
Single Gunshot,9/25/2012,22:00:00,KansasCityMO,39.053,-94.571,Kansas City,MO,2012,9,153
Multiple Gunshots,9/25/2012,22:00:00,KansasCityMO,39.034,-94.563,Kansas City,MO,2012,9,153
Multiple Gunshots,9/26/2012,20:00:00,KansasCityMO,39.054,-94.555,Kansas City,MO,2012,9,153
Gunshot or Firecracker,9/26/2012,22:00:00,KansasCityMO,39.054,-94.553,Kansas City,MO,2012,9,153
Multiple Gunshots,9/26/2012,22:00:00,KansasCityMO,39.033,-94.554,Kansas City,MO,2012,9,153
Single Gunshot,9/26/2012,23:00:00,KansasCityMO,39.044,-94.54,Kansas City,MO,2012,9,153
Multiple Gunshots,9/27/2012,1:00:00,KansasCityMO,39.073,-94.56,Kansas City,MO,2012,9,153
Multiple Gunshots,9/27/2012,13:00:00,KansasCityMO,39.044,-94.547,Kansas City,MO,2012,9,153
Single Gunshot,9/27/2012,20:00:00,KansasCityMO,39.055,-94.546,Kansas City,MO,2012,9,153
Single Gunshot,9/27/2012,20:00:00,KansasCityMO,39.044,-94.547,Kansas City,MO,2012,9,153
Multiple Gunshots,9/27/2012,21:00:00,KansasCityMO,39.052,-94.561,Kansas City,MO,2012,9,153
Gunshot or Firecracker,9/28/2012,9:00:00,KansasCityMO,39.06,-94.561,Kansas City,MO,2012,9,153
Multiple Gunshots,9/28/2012,9:00:00,KansasCityMO,39.05,-94.558,Kansas City,MO,2012,9,153
Gunshot or Firecracker,9/28/2012,9:00:00,KansasCityMO,39.041,-94.547,Kansas City,MO,2012,9,153
Single Gunshot,9/28/2012,17:00:00,KansasCityMO,39.044,-94.555,Kansas City,MO,2012,9,153
Multiple Gunshots,9/28/2012,21:00:00,KansasCityMO,39.053,-94.553,Kansas City,MO,2012,9,153
Multiple Gunshots,9/29/2012,3:00:00,KansasCityMO,39.039,-94.57,Kansas City,MO,2012,9,153
Multiple Gunshots,9/29/2012,3:00:00,KansasCityMO,39.068,-94.569,Kansas City,MO,2012,9,153
Single Gunshot,9/29/2012,3:00:00,KansasCityMO,39.06,-94.545,Kansas City,MO,2012,9,153
Single Gunshot,9/29/2012,22:00:00,KansasCityMO,39.068,-94.569,Kansas City,MO,2012,9,153
Multiple Gunshots,9/29/2012,23:00:00,KansasCityMO,39.048,-94.535,Kansas City,MO,2012,9,153
Single Gunshot,9/29/2012,23:00:00,KansasCityMO,39.073,-94.564,Kansas City,MO,2012,9,153
Single Gunshot,9/29/2012,23:00:00,KansasCityMO,39.062,-94.564,Kansas City,MO,2012,9,153
Single Gunshot,9/30/2012,1:00:00,KansasCityMO,39.053,-94.544,Kansas City,MO,2012,9,153
Multiple Gunshots,9/30/2012,4:00:00,KansasCityMO,39.045,-94.57,Kansas City,MO,2012,9,153
Single Gunshot,9/30/2012,20:00:00,KansasCityMO,39.051,-94.56,Kansas City,MO,2012,9,153
Single Gunshot,10/1/2012,0:00:00,KansasCityMO,39.058,-94.559,Kansas City,MO,2012,10,154
Multiple Gunshots,10/1/2012,12:00:00,KansasCityMO,39.037,-94.563,Kansas City,MO,2012,10,154
Multiple Gunshots,10/1/2012,18:00:00,KansasCityMO,39.047,-94.568,Kansas City,MO,2012,10,154
Single Gunshot,10/2/2012,3:00:00,KansasCityMO,39.068,-94.554,Kansas City,MO,2012,10,154
Single Gunshot,10/2/2012,5:00:00,KansasCityMO,39.045,-94.572,Kansas City,MO,2012,10,154
Multiple Gunshots,10/3/2012,2:00:00,KansasCityMO,39.073,-94.558,Kansas City,MO,2012,10,154
Multiple Gunshots,10/3/2012,4:00:00,KansasCityMO,39.038,-94.541,Kansas City,MO,2012,10,154
Multiple Gunshots,10/3/2012,4:00:00,KansasCityMO,39.038,-94.544,Kansas City,MO,2012,10,154
Multiple Gunshots,10/3/2012,7:00:00,KansasCityMO,39.036,-94.555,Kansas City,MO,2012,10,154
Gunshot or Firecracker,10/3/2012,12:00:00,KansasCityMO,39.03,-94.559,Kansas City,MO,2012,10,154
Single Gunshot,10/3/2012,18:00:00,KansasCityMO,39.055,-94.549,Kansas City,MO,2012,10,154
Multiple Gunshots,10/4/2012,20:00:00,KansasCityMO,39.05,-94.574,Kansas City,MO,2012,10,154
Multiple Gunshots,10/4/2012,21:00:00,KansasCityMO,39.052,-94.561,Kansas City,MO,2012,10,154
Single Gunshot,10/4/2012,22:00:00,KansasCityMO,39.081,-94.562,Kansas City,MO,2012,10,154
Multiple Gunshots,10/5/2012,4:00:00,KansasCityMO,39.056,-94.575,Kansas City,MO,2012,10,154
Multiple Gunshots,10/5/2012,4:00:00,KansasCityMO,39.051,-94.559,Kansas City,MO,2012,10,154
Multiple Gunshots,10/5/2012,11:00:00,KansasCityMO,39.058,-94.542,Kansas City,MO,2012,10,154
Multiple Gunshots,10/5/2012,19:00:00,KansasCityMO,39.066,-94.568,Kansas City,MO,2012,10,154
Multiple Gunshots,10/5/2012,23:00:00,KansasCityMO,39.058,-94.583,Kansas City,MO,2012,10,154
Multiple Gunshots,10/5/2012,23:00:00,KansasCityMO,39.073,-94.559,Kansas City,MO,2012,10,154
Gunshot or Firecracker,10/6/2012,12:00:00,KansasCityMO,39.065,-94.572,Kansas City,MO,2012,10,154
Gunshot or Firecracker,10/6/2012,13:00:00,KansasCityMO,39.056,-94.548,Kansas City,MO,2012,10,154
Multiple Gunshots,10/7/2012,1:00:00,KansasCityMO,39.032,-94.554,Kansas City,MO,2012,10,154
Single Gunshot,10/7/2012,3:00:00,KansasCityMO,39.049,-94.569,Kansas City,MO,2012,10,154
Multiple Gunshots,10/7/2012,3:00:00,KansasCityMO,39.049,-94.569,Kansas City,MO,2012,10,154
Multiple Gunshots,10/7/2012,4:00:00,KansasCityMO,39.077,-94.554,Kansas City,MO,2012,10,154
Multiple Gunshots,10/7/2012,4:00:00,KansasCityMO,39.074,-94.553,Kansas City,MO,2012,10,154
Single Gunshot,10/7/2012,18:00:00,KansasCityMO,39.053,-94.554,Kansas City,MO,2012,10,154
Multiple Gunshots,10/7/2012,21:00:00,KansasCityMO,39.051,-94.555,Kansas City,MO,2012,10,154
Single Gunshot,10/7/2012,21:00:00,KansasCityMO,39.051,-94.555,Kansas City,MO,2012,10,154
Single Gunshot,10/8/2012,11:00:00,KansasCityMO,39.059,-94.558,Kansas City,MO,2012,10,154
Multiple Gunshots,10/8/2012,19:00:00,KansasCityMO,39.044,-94.561,Kansas City,MO,2012,10,154
Single Gunshot,10/8/2012,22:00:00,KansasCityMO,39.056,-94.57,Kansas City,MO,2012,10,154
Single Gunshot,10/9/2012,19:00:00,KansasCityMO,39.038,-94.565,Kansas City,MO,2012,10,154
Gunshot or Firecracker,10/11/2012,10:00:00,KansasCityMO,39.065,-94.561,Kansas City,MO,2012,10,154
Gunshot or Firecracker,10/11/2012,12:00:00,KansasCityMO,39.037,-94.558,Kansas City,MO,2012,10,154
Single Gunshot,10/11/2012,15:00:00,KansasCityMO,39.057,-94.564,Kansas City,MO,2012,10,154
Gunshot or Firecracker,10/11/2012,15:00:00,KansasCityMO,39.056,-94.568,Kansas City,MO,2012,10,154
Multiple Gunshots,10/11/2012,16:00:00,KansasCityMO,39.053,-94.567,Kansas City,MO,2012,10,154
Gunshot or Firecracker,10/11/2012,16:00:00,KansasCityMO,39.065,-94.553,Kansas City,MO,2012,10,154
Multiple Gunshots,10/11/2012,17:00:00,KansasCityMO,39.065,-94.548,Kansas City,MO,2012,10,154
Single Gunshot,10/11/2012,17:00:00,KansasCityMO,39.069,-94.553,Kansas City,MO,2012,10,154
Multiple Gunshots,10/11/2012,18:00:00,KansasCityMO,39.063,-94.542,Kansas City,MO,2012,10,154
Single Gunshot,10/11/2012,22:00:00,KansasCityMO,39.051,-94.542,Kansas City,MO,2012,10,154
Multiple Gunshots,10/12/2012,8:00:00,KansasCityMO,39.056,-94.558,Kansas City,MO,2012,10,154
Multiple Gunshots,10/12/2012,15:00:00,KansasCityMO,39.058,-94.553,Kansas City,MO,2012,10,154
Single Gunshot,10/12/2012,20:00:00,KansasCityMO,39.06,-94.54,Kansas City,MO,2012,10,154
Gunshot or Firecracker,10/13/2012,11:00:00,KansasCityMO,39.06,-94.557,Kansas City,MO,2012,10,154
Gunshot or Firecracker,10/13/2012,12:00:00,KansasCityMO,39.045,-94.573,Kansas City,MO,2012,10,154
Gunshot or Firecracker,10/13/2012,15:00:00,KansasCityMO,39.063,-94.565,Kansas City,MO,2012,10,154
Single Gunshot,10/14/2012,0:00:00,KansasCityMO,39.067,-94.549,Kansas City,MO,2012,10,154
Single Gunshot,10/14/2012,17:00:00,KansasCityMO,39.056,-94.566,Kansas City,MO,2012,10,154
Multiple Gunshots,10/15/2012,14:00:00,KansasCityMO,39.061,-94.552,Kansas City,MO,2012,10,154
Multiple Gunshots,10/17/2012,0:00:00,KansasCityMO,39.056,-94.565,Kansas City,MO,2012,10,154
Gunshot or Firecracker,10/18/2012,11:00:00,KansasCityMO,39.052,-94.568,Kansas City,MO,2012,10,154
Single Gunshot,10/18/2012,21:00:00,KansasCityMO,39.067,-94.55,Kansas City,MO,2012,10,154
Single Gunshot,10/19/2012,18:00:00,KansasCityMO,39.068,-94.569,Kansas City,MO,2012,10,154
Multiple Gunshots,10/19/2012,0:00:00,KansasCityMO,39.063,-94.554,Kansas City,MO,2012,10,154
Multiple Gunshots,10/20/2012,5:00:00,KansasCityMO,39.074,-94.554,Kansas City,MO,2012,10,154
Multiple Gunshots,10/20/2012,5:00:00,KansasCityMO,39.073,-94.558,Kansas City,MO,2012,10,154
Gunshot or Firecracker,10/20/2012,10:00:00,KansasCityMO,39.061,-94.554,Kansas City,MO,2012,10,154
Single Gunshot,10/20/2012,12:00:00,KansasCityMO,39.064,-94.549,Kansas City,MO,2012,10,154
Multiple Gunshots,10/20/2012,20:00:00,KansasCityMO,39.064,-94.548,Kansas City,MO,2012,10,154
Single Gunshot,10/20/2012,21:00:00,KansasCityMO,39.074,-94.556,Kansas City,MO,2012,10,154
Multiple Gunshots,10/21/2012,2:00:00,KansasCityMO,39.055,-94.562,Kansas City,MO,2012,10,154
Multiple Gunshots,10/21/2012,2:00:00,KansasCityMO,39.058,-94.551,Kansas City,MO,2012,10,154
Multiple Gunshots,10/21/2012,2:00:00,KansasCityMO,39.058,-94.551,Kansas City,MO,2012,10,154
Multiple Gunshots,10/21/2012,5:00:00,KansasCityMO,39.053,-94.55,Kansas City,MO,2012,10,154
Single Gunshot,10/21/2012,5:00:00,KansasCityMO,39.061,-94.552,Kansas City,MO,2012,10,154
Multiple Gunshots,10/21/2012,5:00:00,KansasCityMO,39.061,-94.552,Kansas City,MO,2012,10,154
Multiple Gunshots,10/21/2012,5:00:00,KansasCityMO,39.064,-94.555,Kansas City,MO,2012,10,154
Gunshot or Firecracker,10/21/2012,13:00:00,KansasCityMO,39.061,-94.555,Kansas City,MO,2012,10,154
Multiple Gunshots,10/21/2012,17:00:00,KansasCityMO,39.054,-94.555,Kansas City,MO,2012,10,154
Multiple Gunshots,10/21/2012,17:00:00,KansasCityMO,39.058,-94.554,Kansas City,MO,2012,10,154
Multiple Gunshots,10/21/2012,19:00:00,KansasCityMO,39.067,-94.558,Kansas City,MO,2012,10,154
Multiple Gunshots,10/21/2012,20:00:00,KansasCityMO,39.063,-94.548,Kansas City,MO,2012,10,154
Single Gunshot,10/21/2012,20:00:00,KansasCityMO,39.057,-94.553,Kansas City,MO,2012,10,154
Multiple Gunshots,10/21/2012,20:00:00,KansasCityMO,39.057,-94.553,Kansas City,MO,2012,10,154
Single Gunshot,10/21/2012,20:00:00,KansasCityMO,39.058,-94.545,Kansas City,MO,2012,10,154
Multiple Gunshots,10/22/2012,0:00:00,KansasCityMO,39.051,-94.56,Kansas City,MO,2012,10,154
Multiple Gunshots,10/22/2012,0:00:00,KansasCityMO,39.052,-94.561,Kansas City,MO,2012,10,154
Multiple Gunshots,10/22/2012,3:00:00,KansasCityMO,39.036,-94.554,Kansas City,MO,2012,10,154
Single Gunshot,10/22/2012,3:00:00,KansasCityMO,39.034,-94.554,Kansas City,MO,2012,10,154
Multiple Gunshots,10/22/2012,23:00:00,KansasCityMO,39.027,-94.562,Kansas City,MO,2012,10,154
Single Gunshot,10/23/2012,3:00:00,KansasCityMO,39.056,-94.578,Kansas City,MO,2012,10,154
Multiple Gunshots,10/23/2012,12:00:00,KansasCityMO,39.06,-94.554,Kansas City,MO,2012,10,154
Multiple Gunshots,10/23/2012,12:00:00,KansasCityMO,39.061,-94.554,Kansas City,MO,2012,10,154
Multiple Gunshots,10/24/2012,19:00:00,KansasCityMO,39.025,-94.565,Kansas City,MO,2012,10,154
Multiple Gunshots,10/24/2012,20:00:00,KansasCityMO,39.063,-94.564,Kansas City,MO,2012,10,154
Single Gunshot,10/24/2012,23:00:00,KansasCityMO,39.035,-94.549,Kansas City,MO,2012,10,154
Multiple Gunshots,10/25/2012,3:00:00,KansasCityMO,39.041,-94.551,Kansas City,MO,2012,10,154
Multiple Gunshots,10/26/2012,2:00:00,KansasCityMO,39.049,-94.555,Kansas City,MO,2012,10,154
Gunshot or Firecracker,10/26/2012,8:00:00,KansasCityMO,39.069,-94.566,Kansas City,MO,2012,10,154
Multiple Gunshots,10/26/2012,18:00:00,KansasCityMO,39.076,-94.553,Kansas City,MO,2012,10,154
Single Gunshot,10/26/2012,19:00:00,KansasCityMO,39.036,-94.562,Kansas City,MO,2012,10,154
Multiple Gunshots,10/27/2012,2:00:00,KansasCityMO,39.068,-94.547,Kansas City,MO,2012,10,154
Multiple Gunshots,10/27/2012,5:00:00,KansasCityMO,39.057,-94.545,Kansas City,MO,2012,10,154
Multiple Gunshots,10/27/2012,11:00:00,KansasCityMO,39.07,-94.571,Kansas City,MO,2012,10,154
Multiple Gunshots,10/27/2012,20:00:00,KansasCityMO,39.074,-94.557,Kansas City,MO,2012,10,154
Multiple Gunshots,10/28/2012,3:00:00,KansasCityMO,39.045,-94.569,Kansas City,MO,2012,10,154
Multiple Gunshots,10/28/2012,3:00:00,KansasCityMO,39.045,-94.57,Kansas City,MO,2012,10,154
Multiple Gunshots,10/28/2012,17:00:00,KansasCityMO,39.07,-94.552,Kansas City,MO,2012,10,154
Single Gunshot,10/29/2012,21:00:00,KansasCityMO,39.043,-94.57,Kansas City,MO,2012,10,154
Multiple Gunshots,10/30/2012,0:00:00,KansasCityMO,39.048,-94.542,Kansas City,MO,2012,10,154
Multiple Gunshots,10/31/2012,1:00:00,KansasCityMO,39.066,-94.549,Kansas City,MO,2012,10,154
Multiple Gunshots,10/31/2012,19:00:00,KansasCityMO,39.062,-94.547,Kansas City,MO,2012,10,154
Multiple Gunshots,10/31/2012,22:00:00,KansasCityMO,39.034,-94.557,Kansas City,MO,2012,10,154
Multiple Gunshots,10/31/2012,22:00:00,KansasCityMO,39.037,-94.557,Kansas City,MO,2012,10,154
Multiple Gunshots,10/31/2012,22:00:00,KansasCityMO,39.033,-94.554,Kansas City,MO,2012,10,154
Single Gunshot,11/1/2012,0:00:00,KansasCityMO,39.066,-94.577,Kansas City,MO,2012,11,155
Single Gunshot,11/1/2012,1:00:00,KansasCityMO,39.048,-94.571,Kansas City,MO,2012,11,155
Multiple Gunshots,11/1/2012,1:00:00,KansasCityMO,39.042,-94.569,Kansas City,MO,2012,11,155
Multiple Gunshots,11/1/2012,22:00:00,KansasCityMO,39.066,-94.536,Kansas City,MO,2012,11,155
Multiple Gunshots,11/1/2012,0:00:00,KansasCityMO,39.042,-94.569,Kansas City,MO,2012,11,155
Gunshot or Firecracker,11/2/2012,11:00:00,KansasCityMO,39.059,-94.554,Kansas City,MO,2012,11,155
Multiple Gunshots,11/2/2012,15:00:00,KansasCityMO,39.062,-94.547,Kansas City,MO,2012,11,155
Single Gunshot,11/2/2012,18:00:00,KansasCityMO,39.054,-94.539,Kansas City,MO,2012,11,155
Multiple Gunshots,11/2/2012,22:00:00,KansasCityMO,39.048,-94.54,Kansas City,MO,2012,11,155
Multiple Gunshots,11/2/2012,23:00:00,KansasCityMO,39.045,-94.57,Kansas City,MO,2012,11,155
Multiple Gunshots,11/3/2012,21:00:00,KansasCityMO,39.061,-94.554,Kansas City,MO,2012,11,155
Multiple Gunshots,11/4/2012,2:00:00,KansasCityMO,39.063,-94.539,Kansas City,MO,2012,11,155
Multiple Gunshots,11/4/2012,2:00:00,KansasCityMO,39.063,-94.56,Kansas City,MO,2012,11,155
Single Gunshot,11/4/2012,2:00:00,KansasCityMO,39.059,-94.555,Kansas City,MO,2012,11,155
Multiple Gunshots,11/4/2012,4:00:00,KansasCityMO,39.043,-94.555,Kansas City,MO,2012,11,155
Multiple Gunshots,11/4/2012,4:00:00,KansasCityMO,39.057,-94.549,Kansas City,MO,2012,11,155
Multiple Gunshots,11/4/2012,5:00:00,KansasCityMO,39.046,-94.56,Kansas City,MO,2012,11,155
Multiple Gunshots,11/4/2012,6:00:00,KansasCityMO,39.035,-94.566,Kansas City,MO,2012,11,155
Multiple Gunshots,11/4/2012,18:00:00,KansasCityMO,39.028,-94.561,Kansas City,MO,2012,11,155
Multiple Gunshots,11/4/2012,20:00:00,KansasCityMO,39.065,-94.552,Kansas City,MO,2012,11,155
Single Gunshot,11/4/2012,21:00:00,KansasCityMO,39.025,-94.567,Kansas City,MO,2012,11,155
Multiple Gunshots,11/5/2012,17:00:00,KansasCityMO,39.057,-94.566,Kansas City,MO,2012,11,155
Multiple Gunshots,11/6/2012,2:00:00,KansasCityMO,39.055,-94.55,Kansas City,MO,2012,11,155
Multiple Gunshots,11/6/2012,19:00:00,KansasCityMO,39.059,-94.559,Kansas City,MO,2012,11,155
Single Gunshot,11/6/2012,19:00:00,KansasCityMO,39.059,-94.56,Kansas City,MO,2012,11,155
Multiple Gunshots,11/6/2012,22:00:00,KansasCityMO,39.071,-94.555,Kansas City,MO,2012,11,155
Multiple Gunshots,11/7/2012,1:00:00,KansasCityMO,39.048,-94.556,Kansas City,MO,2012,11,155
Multiple Gunshots,11/7/2012,1:00:00,KansasCityMO,39.048,-94.556,Kansas City,MO,2012,11,155
Multiple Gunshots,11/9/2012,2:00:00,KansasCityMO,39.034,-94.568,Kansas City,MO,2012,11,155
Single Gunshot,11/9/2012,18:00:00,KansasCityMO,39.031,-94.566,Kansas City,MO,2012,11,155
Multiple Gunshots,11/9/2012,20:00:00,KansasCityMO,39.043,-94.558,Kansas City,MO,2012,11,155
Multiple Gunshots,11/9/2012,21:00:00,KansasCityMO,39.042,-94.569,Kansas City,MO,2012,11,155
Multiple Gunshots,11/10/2012,3:00:00,KansasCityMO,39.044,-94.558,Kansas City,MO,2012,11,155
Single Gunshot,11/10/2012,7:00:00,KansasCityMO,39.07,-94.564,Kansas City,MO,2012,11,155
Multiple Gunshots,11/10/2012,19:00:00,KansasCityMO,39.046,-94.55,Kansas City,MO,2012,11,155
Single Gunshot,11/10/2012,19:00:00,KansasCityMO,39.031,-94.567,Kansas City,MO,2012,11,155
Multiple Gunshots,11/10/2012,19:00:00,KansasCityMO,39.032,-94.567,Kansas City,MO,2012,11,155
Single Gunshot,11/13/2012,13:00:00,KansasCityMO,39.037,-94.562,Kansas City,MO,2012,11,155
Single Gunshot,11/14/2012,1:00:00,KansasCityMO,39.06,-94.566,Kansas City,MO,2012,11,155
